# ------------------------------------------------------------------------
# Radiance spectrum
# NASA-GSFC Planetary Spectrum Generator (PSG) (Villanueva et al. 2018, 2022)
# Synthesized on Tue May 13 20:48:18 2025
# Doppler velocities [km/s] (vobs,vrot+vorb,vwidth,vrfl,vstr): 22.08700,-0.00000,8.67000,-0.44364,0.00000
# ------------------------------------------------------------------------
# Spectra synthesized with the Planetary and Universal Model of Atmospheric Scattering (PUMAS, Villanueva et al. 2018, 2022)
# Multiple scattering method employing PSGDORT, NMAX:2 / LMAX:60 / gMAX:0.95
# Radiative transfer took 5.580 seconds
# ------------------------------------------------------------------------
# Spectral unit: Wavelength [um]
# Radiance unit: Spectral irradiance [Jy]
# Wave/freq Total Jupiter
5.936437599e-01  6.7135127e-38  6.71351e-38
5.995801975e-01  1.4252072e-37  1.42521e-37
6.055759995e-01  3.1595467e-37  3.15955e-37
6.116317595e-01  1.2582716e-37  1.25827e-37
6.177480771e-01  3.6138585e-39  3.61386e-39
6.239255579e-01  5.4539022e-38  5.45390e-38
6.301648135e-01  2.9097607e-36  2.90976e-36
6.364664616e-01  5.9690663e-36  5.96907e-36
6.428311262e-01  7.7277702e-36  7.72777e-36
6.492594375e-01  9.8497012e-36  9.84970e-36
6.557520318e-01  1.5223763e-35  1.52238e-35
6.623095522e-01  1.7677656e-35  1.76777e-35
6.689326477e-01  3.9672131e-35  3.96721e-35
6.756219742e-01  2.5053145e-34  2.50531e-34
6.823781939e-01  3.8169867e-34  3.81699e-34
6.892019758e-01  6.6008344e-34  6.60083e-34
6.960939956e-01  8.0630238e-34  8.06302e-34
7.030549355e-01  3.7303488e-34  3.73035e-34
7.100854849e-01  2.0625319e-33  2.06253e-33
7.171863398e-01  4.2463108e-34  4.24631e-34
7.243582032e-01  4.4336005e-36  4.43360e-36
7.316017852e-01  2.8089444e-35  2.80894e-35
7.389178030e-01  1.0852265e-32  1.08523e-32
7.463069811e-01  6.1474896e-32  6.14749e-32
7.537700509e-01  1.1224963e-31  1.12250e-31
7.613077514e-01  1.4486527e-31  1.44865e-31
7.689208289e-01  1.5113456e-31  1.51135e-31
7.766100372e-01  1.5492728e-31  1.54927e-31
7.843761376e-01  9.9006147e-32  9.90061e-32
7.922198989e-01  1.9041209e-31  1.90412e-31
8.001420979e-01  2.7971084e-31  2.79711e-31
8.081435189e-01  1.7844784e-30  1.78448e-30
8.162249541e-01  8.1068499e-30  8.10685e-30
8.243872036e-01  2.3183982e-29  2.31840e-29
8.326310757e-01  5.3819591e-29  5.38196e-29
8.409573864e-01  9.9746411e-29  9.97464e-29
8.493669603e-01  1.4787834e-28  1.47878e-28
8.578606299e-01  2.3881218e-28  2.38812e-28
8.664392362e-01  2.8419172e-28  2.84192e-28
8.751036286e-01  5.2589953e-29  5.25900e-29
8.838546648e-01  4.2304167e-30  4.23042e-30
8.926932115e-01  1.7257975e-30  1.72580e-30
9.016201436e-01  4.4756745e-29  4.47567e-29
9.106363450e-01  1.3206928e-27  1.32069e-27
9.197427085e-01  5.7576083e-27  5.75761e-27
9.289401356e-01  3.2117191e-28  3.21172e-28
9.382295369e-01  6.5433724e-27  6.54337e-27
9.476118323e-01  3.4855584e-26  3.48556e-26
9.570879506e-01  3.8638697e-26  3.86387e-26
9.666588301e-01  2.2455211e-26  2.24552e-26
9.763254184e-01  1.9017425e-26  1.90174e-26
9.860886726e-01  1.6116696e-26  1.61167e-26
9.959495593e-01  1.6343005e-26  1.63430e-26
1.005909055e+00  2.8212402e-26  2.82124e-26
1.015968145e+00  7.2763066e-26  7.27631e-26
1.026127827e+00  2.5387078e-25  2.53871e-25
1.036389105e+00  6.8329683e-25  6.83297e-25
1.046752996e+00  1.3152125e-24  1.31521e-24
1.057220526e+00  3.3552779e-24  3.35528e-24
1.067792731e+00  1.2138708e-23  1.21387e-23
1.078470659e+00  3.1533482e-23  3.15335e-23
1.089255365e+00  3.9792069e-23  3.97921e-23
1.100147919e+00  4.2643475e-23  4.26435e-23
1.111149398e+00  1.4399173e-23  1.43992e-23
1.122260892e+00  3.5077301e-24  3.50773e-24
1.133483501e+00  1.9668110e-24  1.96681e-24
1.144818336e+00  3.6622090e-24  3.66221e-24
1.156266520e+00  9.9016625e-24  9.90166e-24
1.167829185e+00  1.8964409e-23  1.89644e-23
1.179507477e+00  2.6379227e-23  2.63792e-23
1.191302551e+00  1.0469337e-22  1.04693e-22
1.203215577e+00  4.7538717e-22  4.75387e-22
1.215247733e+00  1.2923900e-21  1.29239e-21
1.227400210e+00  1.7527911e-21  1.75279e-21
1.239674212e+00  3.8549985e-21  3.85500e-21
1.252070954e+00  7.4997454e-21  7.49975e-21
1.264591664e+00  1.3378994e-20  1.33790e-20
1.277237580e+00  2.9704388e-20  2.97044e-20
1.290009956e+00  4.8982709e-20  4.89827e-20
1.302910056e+00  8.8256588e-20  8.82566e-20
1.315939156e+00  6.5276335e-20  6.52763e-20
1.329098548e+00  1.2635068e-19  1.26351e-19
1.342389533e+00  2.1029038e-19  2.10290e-19
1.355813429e+00  5.8827667e-19  5.88277e-19
1.369371563e+00  9.9324012e-19  9.93240e-19
1.383065279e+00  2.1805149e-18  2.18051e-18
1.396895931e+00  3.7049085e-18  3.70491e-18
1.410864891e+00  5.9848805e-18  5.98488e-18
1.424973540e+00  5.3077608e-18  5.30776e-18
1.439223275e+00  3.7874305e-18  3.78743e-18
1.453615508e+00  4.7391649e-18  4.73916e-18
1.468151663e+00  7.6908283e-18  7.69083e-18
1.482833179e+00  8.2779327e-18  8.27793e-18
1.497661511e+00  3.2794826e-18  3.27948e-18
1.512638126e+00  4.0650766e-18  4.06508e-18
1.527764508e+00  2.9336683e-18  2.93367e-18
1.543042153e+00  3.8307279e-18  3.83073e-18
1.558472574e+00  8.0977266e-18  8.09773e-18
1.574057300e+00  8.8647206e-18  8.86472e-18
1.589797873e+00  1.9193107e-17  1.91931e-17
1.605695852e+00  1.3734637e-16  1.37346e-16
1.621752810e+00  4.2219353e-15  4.22194e-15
1.637970338e+00  1.3838354e-14  1.38384e-14
1.654350042e+00  3.0785012e-14  3.07850e-14
1.670893542e+00  4.7492143e-14  4.74921e-14
1.687602477e+00  9.2924385e-14  9.29244e-14
1.704478502e+00  2.9953797e-13  2.99538e-13
1.721523287e+00  3.8181273e-13  3.81813e-13
1.738738520e+00  3.6949294e-13  3.69493e-13
1.756125905e+00  4.6309645e-13  4.63096e-13
1.773687164e+00  1.3158972e-12  1.31590e-12
1.791424036e+00  1.9733403e-12  1.97334e-12
1.809338276e+00  1.5462164e-12  1.54622e-12
1.827431659e+00  1.5974738e-12  1.59747e-12
1.845705976e+00  2.3279749e-12  2.32797e-12
1.864163036e+00  1.4786002e-12  1.47860e-12
1.882804666e+00  7.3573506e-13  7.35735e-13
1.901632713e+00  1.7090768e-12  1.70908e-12
1.920649040e+00  5.2868838e-12  5.28688e-12
1.939855530e+00  4.8629114e-12  4.86291e-12
1.959254085e+00  4.2300774e-12  4.23008e-12
1.978846626e+00  3.3921956e-12  3.39220e-12
1.998635092e+00  3.0099653e-12  3.00997e-12
2.018621443e+00  2.5536746e-12  2.55367e-12
2.038807658e+00  3.3464178e-12  3.34642e-12
2.059195734e+00  5.9796694e-12  5.97967e-12
2.079787692e+00  9.8562463e-12  9.85625e-12
2.100585569e+00  1.9472844e-11  1.94728e-11
2.121591424e+00  7.2094926e-11  7.20949e-11
2.142807339e+00  7.3115169e-10  7.31152e-10
2.164235412e+00  4.1950747e-09  4.19507e-09
2.185877766e+00  2.8980241e-09  2.89802e-09
2.207736544e+00  1.4588189e-08  1.45882e-08
2.229813909e+00  2.3805978e-08  2.38060e-08
2.252112048e+00  5.1876238e-08  5.18762e-08
2.274633169e+00  7.7010554e-08  7.70106e-08
2.297379500e+00  1.8327387e-07  1.83274e-07
2.320353295e+00  2.1241127e-07  2.12411e-07
2.343556828e+00  3.6003338e-07  3.60033e-07
2.366992397e+00  4.9048792e-07  4.90488e-07
2.390662321e+00  3.9527075e-07  3.95271e-07
2.414568944e+00  3.8213869e-07  3.82139e-07
2.438714633e+00  4.4337155e-07  4.43372e-07
2.463101780e+00  3.3952259e-07  3.39523e-07
2.487732797e+00  2.8099095e-07  2.80991e-07
2.512610125e+00  3.4762658e-07  3.47627e-07
2.537736227e+00  5.3332300e-07  5.33323e-07
2.563113589e+00  2.0315712e-06  2.03157e-06
2.588744725e+00  2.4689837e-06  2.46898e-06
2.614632172e+00  1.4933303e-06  1.49333e-06
2.640778494e+00  5.5922884e-07  5.59229e-07
2.667186279e+00  2.6803148e-07  2.68031e-07
2.693858142e+00  2.0667911e-07  2.06679e-07
2.720796723e+00  1.3962870e-07  1.39629e-07
2.748004690e+00  9.9291079e-08  9.92911e-08
2.775484737e+00  7.6788022e-08  7.67880e-08
2.803239584e+00  2.4116543e-07  2.41165e-07
2.831271980e+00  4.6792500e-07  4.67925e-07
2.859584700e+00  8.4287872e-07  8.42879e-07
2.888180547e+00  7.0784722e-07  7.07847e-07
2.917062353e+00  4.4744636e-07  4.47446e-07
2.946232976e+00  6.1949871e-07  6.19499e-07
2.975695306e+00  9.9019214e-07  9.90192e-07
3.005452259e+00  1.1363518e-06  1.13635e-06
3.035506781e+00  8.8809954e-07  8.88100e-07
3.065861849e+00  2.7372445e-06  2.73724e-06
3.096520468e+00  1.8281650e-05  1.82816e-05
3.127485672e+00  1.3957306e-04  1.39573e-04
3.158760529e+00  5.3525682e-04  5.35257e-04
3.190348134e+00  1.7614087e-03  1.76141e-03
3.222251616e+00  3.2133819e-03  3.21338e-03
3.254474132e+00  5.9788644e-03  5.97886e-03
3.287018873e+00  4.7443750e-03  4.74437e-03
3.319889062e+00  1.5159173e-02  1.51592e-02
3.353087953e+00  1.0858210e-02  1.08582e-02
3.386618832e+00  1.2525628e-02  1.25256e-02
3.420485021e+00  1.7217643e-02  1.72176e-02
3.454689871e+00  1.5093078e-02  1.50931e-02
3.489236769e+00  2.0103678e-02  2.01037e-02
3.524129137e+00  1.7447823e-02  1.74478e-02
3.559370428e+00  2.4404307e-02  2.44043e-02
3.594964133e+00  2.8382492e-02  2.83825e-02
3.630913774e+00  2.1633060e-02  2.16331e-02
3.667222912e+00  1.9177530e-02  1.91775e-02
3.703895141e+00  2.9233728e-02  2.92337e-02
3.740934092e+00  3.3650862e-02  3.36509e-02
3.778343433e+00  4.2345736e-02  4.23457e-02
3.816126868e+00  2.9392639e-02  2.93926e-02
3.854288136e+00  6.2437634e-02  6.24376e-02
3.892831018e+00  6.0569209e-02  6.05692e-02
3.931759328e+00  5.8738726e-02  5.87387e-02
3.971076921e+00  5.4667877e-02  5.46679e-02
4.010787690e+00  3.9238740e-02  3.92387e-02
4.050895567e+00  3.6966697e-02  3.69667e-02
4.091404523e+00  2.5866436e-02  2.58664e-02
4.132318568e+00  2.2173585e-02  2.21736e-02
4.173641754e+00  2.5655475e-02  2.56555e-02
4.215378171e+00  3.2248387e-02  3.22484e-02
4.257531953e+00  3.0527815e-02  3.05278e-02
4.300107273e+00  2.9592949e-02  2.95929e-02
4.343108345e+00  2.9045349e-02  2.90453e-02
4.386539429e+00  6.1079506e-02  6.10795e-02
4.430404823e+00  1.0655191e-01  1.06552e-01
4.474708871e+00  1.0458379e-01  1.04584e-01
4.519455960e+00  7.8981102e-02  7.89811e-02
4.564650520e+00  1.4618430e-01  1.46184e-01
4.610297025e+00  1.7113909e-01  1.71139e-01
4.656399995e+00  1.6052259e-01  1.60523e-01
4.702963995e+00  1.6453808e-01  1.64538e-01
4.749993635e+00  1.5993978e-01  1.59940e-01
4.797493571e+00  1.9046183e-01  1.90462e-01
4.845468507e+00  2.3826245e-01  2.38262e-01
4.893923192e+00  2.9954495e-01  2.99545e-01
4.942862424e+00  3.7100445e-01  3.71004e-01
4.992291048e+00  4.5685458e-01  4.56855e-01
5.042213959e+00  5.5976267e-01  5.59763e-01
5.092636098e+00  6.8394652e-01  6.83947e-01
5.143562459e+00  8.2452236e-01  8.24522e-01
5.194998084e+00  9.8996367e-01  9.89964e-01
5.246948065e+00  1.1876448e+00  1.18764e+00
5.299417545e+00  1.4124647e+00  1.41246e+00
5.352411721e+00  1.6717150e+00  1.67172e+00
5.405935838e+00  1.9775683e+00  1.97757e+00
5.459995196e+00  2.3256657e+00  2.32567e+00
5.514595148e+00  2.7282698e+00  2.72827e+00
5.569741100e+00  3.2285224e+00  3.22852e+00
5.625438511e+00  3.7473833e+00  3.74738e+00
5.681692896e+00  4.3983722e+00  4.39837e+00
5.738509825e+00  5.1681181e+00  5.16812e+00
5.795894923e+00  6.0947974e+00  6.09480e+00
5.853853872e+00  7.5974110e+00  7.59741e+00
5.912392411e+00  1.0340990e+01  1.03410e+01
5.971516335e+00  1.4255633e+01  1.42556e+01
6.031231499e+00  2.5330183e+01  2.53302e+01
6.091543814e+00  3.7188687e+01  3.71887e+01
6.152459252e+00  4.5618086e+01  4.56181e+01
6.213983844e+00  4.9968560e+01  4.99686e+01
6.276123683e+00  5.6475845e+01  5.64758e+01
6.338884920e+00  4.9097743e+01  4.90977e+01
6.402273769e+00  5.2056955e+01  5.20570e+01
6.466296506e+00  1.8854046e+02  1.88540e+02
6.530959471e+00  1.5420848e+02  1.54208e+02
6.596269066e+00  5.4557567e+01  5.45576e+01
6.662231757e+00  8.5038199e+01  8.50382e+01
6.728854074e+00  1.5114458e+02  1.51145e+02
6.796142615e+00  2.0410276e+02  2.04103e+02
6.864104041e+00  2.5873492e+02  2.58735e+02
6.932745082e+00  2.4818896e+02  2.48189e+02
7.002072533e+00  3.1612581e+02  3.16126e+02
7.072093258e+00  2.9769045e+02  2.97690e+02
7.142814190e+00  3.1118723e+02  3.11187e+02
7.214242332e+00  4.1004102e+02  4.10041e+02
